ano,ipca_anual_pct,price_level,deflator_base2024
1994,916.4329,10.16432864,6.985633
1995,22.4089,12.44204086,5.706803
1996,9.5638,13.63197346,5.208657
1997,5.2247,14.34420751,4.950031
1998,1.6556,14.58169654,4.869411
1999,8.9399,15.88529067,4.469813
2000,5.9743,16.83433184,4.217825
2001,7.6733,18.1260744,3.917245
2002,12.5303,20.39733262,3.481057
2003,9.2999,22.29427422,3.184866
2004,7.6006,23.98878267,2.959895
2005,5.6897,25.35368044,2.800551
2006,3.1418,26.15023602,2.715244
2007,4.4573,27.31583845,2.599381
2008,5.9023,28.92810485,2.454508
2009,4.312,30.17549293,2.353044
2010,5.9091,31.95858343,2.221759
2011,6.5031,34.03688495,2.086098
2012,5.8386,36.02415197,1.971019
2013,5.9108,38.15347406,1.861017
2014,6.4076,40.59820239,1.748951
2015,10.6735,44.93145071,1.58028
2016,6.2881,47.75676507,1.48679
2017,2.9473,49.16432404,1.444224
2018,3.7455,51.005765,1.392083
2019,4.306,53.20209364,1.334614
2020,4.5173,55.6054139,1.276931
2021,10.0611,61.19990511,1.160202
2022,5.7848,64.7402229,1.096757
2023,4.6211,67.73194236,1.048313
2024,4.8313,71.00427284,1.0
